Timestamp;Feeder1;Feeder2;Temperature
2018-04-01T00:00:00+02:00[Europe/Luxembourg];867;966;0
2018-04-01T00:15:00+02:00[Europe/Luxembourg];857;945;0
2018-04-01T00:30:00+02:00[Europe/Luxembourg];839;935;1
2018-04-01T00:45:00+02:00[Europe/Luxembourg];892;911;1
2018-04-01T01:00:00+02:00[Europe/Luxembourg];895;889;2
2018-04-01T01:15:00+02:00[Europe/Luxembourg];880;893;3
2018-04-01T01:30:00+02:00[Europe/Luxembourg];845;864;3
2018-04-01T01:45:00+02:00[Europe/Luxembourg];820;867;4
2018-04-01T02:00:00+02:00[Europe/Luxembourg];818;875;5
2018-04-01T02:15:00+02:00[Europe/Luxembourg];807;867;5
2018-04-01T02:30:00+02:00[Europe/Luxembourg];814;851;6
2018-04-01T02:45:00+02:00[Europe/Luxembourg];817;859;7
2018-04-01T03:00:00+02:00[Europe/Luxembourg];813;856;7
2018-04-01T03:15:00+02:00[Europe/Luxembourg];830;863;8
2018-04-01T03:30:00+02:00[Europe/Luxembourg];831;871;8
2018-04-01T03:45:00+02:00[Europe/Luxembourg];808;866;9
2018-04-01T04:00:00+02:00[Europe/Luxembourg];834;861;10
2018-04-01T04:15:00+02:00[Europe/Luxembourg];815;860;10
2018-04-01T04:30:00+02:00[Europe/Luxembourg];807;856;11
2018-04-01T04:45:00+02:00[Europe/Luxembourg];833;841;11
2018-04-01T05:00:00+02:00[Europe/Luxembourg];839;858;12
2018-04-01T05:15:00+02:00[Europe/Luxembourg];826;857;12
2018-04-01T05:30:00+02:00[Europe/Luxembourg];844;862;13
2018-04-01T05:45:00+02:00[Europe/Luxembourg];846;870;13
2018-04-01T06:00:00+02:00[Europe/Luxembourg];612;868;14
2018-04-01T06:15:00+02:00[Europe/Luxembourg];-45;906;14
2018-04-01T06:30:00+02:00[Europe/Luxembourg];337;919;15
2018-04-01T06:45:00+02:00[Europe/Luxembourg];321;931;15
2018-04-01T07:00:00+02:00[Europe/Luxembourg];287;921;15
2018-04-01T07:15:00+02:00[Europe/Luxembourg];-111;970;16
2018-04-01T07:30:00+02:00[Europe/Luxembourg];-77;950;16
2018-04-01T07:45:00+02:00[Europe/Luxembourg];610;918;16
2018-04-01T08:00:00+02:00[Europe/Luxembourg];706;901;17
2018-04-01T08:15:00+02:00[Europe/Luxembourg];489;907;17
2018-04-01T08:30:00+02:00[Europe/Luxembourg];-50;900;17
2018-04-01T08:45:00+02:00[Europe/Luxembourg];-166;932;18
2018-04-01T09:00:00+02:00[Europe/Luxembourg];-142;945;18
2018-04-01T09:15:00+02:00[Europe/Luxembourg];-155;945;18
2018-04-01T09:30:00+02:00[Europe/Luxembourg];-132;960;18
2018-04-01T09:45:00+02:00[Europe/Luxembourg];-148;976;19
2018-04-01T10:00:00+02:00[Europe/Luxembourg];-8;961;19
2018-04-01T10:15:00+02:00[Europe/Luxembourg];681;1014;19
2018-04-01T10:30:00+02:00[Europe/Luxembourg];712;1020;19
2018-04-01T10:45:00+02:00[Europe/Luxembourg];129;1045;19
2018-04-01T11:00:00+02:00[Europe/Luxembourg];-140;1055;19
2018-04-01T11:15:00+02:00[Europe/Luxembourg];-139;1056;19
2018-04-01T11:30:00+02:00[Europe/Luxembourg];-101;1053;19
2018-04-01T11:45:00+02:00[Europe/Luxembourg];-83;1081;19
2018-04-01T12:00:00+02:00[Europe/Luxembourg];-136;1078;19
2018-04-01T12:15:00+02:00[Europe/Luxembourg];373;1031;19
2018-04-01T12:30:00+02:00[Europe/Luxembourg];715;1051;19
2018-04-01T12:45:00+02:00[Europe/Luxembourg];544;1051;19
2018-04-01T13:00:00+02:00[Europe/Luxembourg];-113;1026;19
2018-04-01T13:15:00+02:00[Europe/Luxembourg];-146;1019;19
2018-04-01T13:30:00+02:00[Europe/Luxembourg];-149;1025;19
2018-04-01T13:45:00+02:00[Europe/Luxembourg];-120;1023;19
2018-04-01T14:00:00+02:00[Europe/Luxembourg];-141;1015;19
2018-04-01T14:15:00+02:00[Europe/Luxembourg];366;989;19
2018-04-01T14:30:00+02:00[Europe/Luxembourg];761;960;18
2018-04-01T14:45:00+02:00[Europe/Luxembourg];648;953;18
2018-04-01T15:00:00+02:00[Europe/Luxembourg];-107;972;18
2018-04-01T15:15:00+02:00[Europe/Luxembourg];-96;953;18
2018-04-01T15:30:00+02:00[Europe/Luxembourg];-145;964;17
2018-04-01T15:45:00+02:00[Europe/Luxembourg];-143;942;17
2018-04-01T16:00:00+02:00[Europe/Luxembourg];-152;959;17
2018-04-01T16:15:00+02:00[Europe/Luxembourg];255;914;16
2018-04-01T16:30:00+02:00[Europe/Luxembourg];705;929;16
2018-04-01T16:45:00+02:00[Europe/Luxembourg];616;916;16
2018-04-01T17:00:00+02:00[Europe/Luxembourg];-77;892;15
2018-04-01T17:15:00+02:00[Europe/Luxembourg];-82;905;15
2018-04-01T17:30:00+02:00[Europe/Luxembourg];-107;924;15
2018-04-01T17:45:00+02:00[Europe/Luxembourg];-175;921;14
2018-04-01T18:00:00+02:00[Europe/Luxembourg];261;952;14
2018-04-01T18:15:00+02:00[Europe/Luxembourg];679;970;13
2018-04-01T18:30:00+02:00[Europe/Luxembourg];682;965;13
2018-04-01T18:45:00+02:00[Europe/Luxembourg];82;964;12
2018-04-01T19:00:00+02:00[Europe/Luxembourg];-163;980;12
2018-04-01T19:15:00+02:00[Europe/Luxembourg];-172;1007;11
2018-04-01T19:30:00+02:00[Europe/Luxembourg];-155;989;11
2018-04-01T19:45:00+02:00[Europe/Luxembourg];169;977;10
2018-04-01T20:00:00+02:00[Europe/Luxembourg];746;1003;9
2018-04-01T20:15:00+02:00[Europe/Luxembourg];794;1022;9
2018-04-01T20:30:00+02:00[Europe/Luxembourg];110;1050;8
2018-04-01T20:45:00+02:00[Europe/Luxembourg];-25;1049;8
2018-04-01T21:00:00+02:00[Europe/Luxembourg];-89;1020;7
2018-04-01T21:15:00+02:00[Europe/Luxembourg];252;1050;7
2018-04-01T21:30:00+02:00[Europe/Luxembourg];819;1053;6
2018-04-01T21:45:00+02:00[Europe/Luxembourg];798;1014;5
2018-04-01T22:00:00+02:00[Europe/Luxembourg];791;1023;5
2018-04-01T22:15:00+02:00[Europe/Luxembourg];789;1024;4
2018-04-01T22:30:00+02:00[Europe/Luxembourg];780;1004;3
2018-04-01T22:45:00+02:00[Europe/Luxembourg];807;995;3
2018-04-01T23:00:00+02:00[Europe/Luxembourg];860;968;2
2018-04-01T23:15:00+02:00[Europe/Luxembourg];825;966;1
2018-04-01T23:30:00+02:00[Europe/Luxembourg];791;944;1
2018-04-01T23:45:00+02:00[Europe/Luxembourg];782;938;0
2018-04-02T00:00:00+02:00[Europe/Luxembourg];804;918;0
2018-04-02T00:15:00+02:00[Europe/Luxembourg];818;901;0
2018-04-02T00:30:00+02:00[Europe/Luxembourg];834;925;1
2018-04-02T00:45:00+02:00[Europe/Luxembourg];855;918;1
2018-04-02T01:00:00+02:00[Europe/Luxembourg];820;883;2
2018-04-02T01:15:00+02:00[Europe/Luxembourg];810;894;3
2018-04-02T01:30:00+02:00[Europe/Luxembourg];791;885;3
2018-04-02T01:45:00+02:00[Europe/Luxembourg];828;877;4
2018-04-02T02:00:00+02:00[Europe/Luxembourg];848;863;5
2018-04-02T02:15:00+02:00[Europe/Luxembourg];808;888;5
2018-04-02T02:30:00+02:00[Europe/Luxembourg];781;886;6
2018-04-02T02:45:00+02:00[Europe/Luxembourg];807;886;7
2018-04-02T03:00:00+02:00[Europe/Luxembourg];792;907;7
2018-04-02T03:15:00+02:00[Europe/Luxembourg];793;1071;8
2018-04-02T03:30:00+02:00[Europe/Luxembourg];806;1098;8
2018-04-02T03:45:00+02:00[Europe/Luxembourg];822;1052;9
2018-04-02T04:00:00+02:00[Europe/Luxembourg];825;1045;10
2018-04-02T04:15:00+02:00[Europe/Luxembourg];809;1051;10
2018-04-02T04:30:00+02:00[Europe/Luxembourg];849;1049;11
2018-04-02T04:45:00+02:00[Europe/Luxembourg];856;1042;11
2018-04-02T05:00:00+02:00[Europe/Luxembourg];814;1052;12
2018-04-02T05:15:00+02:00[Europe/Luxembourg];806;1166;12
2018-04-02T05:30:00+02:00[Europe/Luxembourg];843;1177;13
2018-04-02T05:45:00+02:00[Europe/Luxembourg];816;1159;13
2018-04-02T06:00:00+02:00[Europe/Luxembourg];608;1190;14
2018-04-02T06:15:00+02:00[Europe/Luxembourg];-44;1258;14
2018-04-02T06:30:00+02:00[Europe/Luxembourg];-94;1282;15
2018-04-02T06:45:00+02:00[Europe/Luxembourg];-17;1279;15
2018-04-02T07:00:00+02:00[Europe/Luxembourg];16;1295;15
2018-04-02T07:15:00+02:00[Europe/Luxembourg];77;1310;16
2018-04-02T07:30:00+02:00[Europe/Luxembourg];-16;1320;16
2018-04-02T07:45:00+02:00[Europe/Luxembourg];-64;1347;16
2018-04-02T08:00:00+02:00[Europe/Luxembourg];-68;1305;17
2018-04-02T08:15:00+02:00[Europe/Luxembourg];-47;1365;17
2018-04-02T08:30:00+02:00[Europe/Luxembourg];-61;1339;17
2018-04-02T08:45:00+02:00[Europe/Luxembourg];-45;1371;18
2018-04-02T09:00:00+02:00[Europe/Luxembourg];600;1396;18
2018-04-02T09:15:00+02:00[Europe/Luxembourg];773;1444;18
2018-04-02T09:30:00+02:00[Europe/Luxembourg];668;1414;18
2018-04-02T09:45:00+02:00[Europe/Luxembourg];-18;1434;19
2018-04-02T10:00:00+02:00[Europe/Luxembourg];-115;1421;19
2018-04-02T10:15:00+02:00[Europe/Luxembourg];-54;1428;19
2018-04-02T10:30:00+02:00[Europe/Luxembourg];-87;1441;19
2018-04-02T10:45:00+02:00[Europe/Luxembourg];-86;1471;19
2018-04-02T11:00:00+02:00[Europe/Luxembourg];-69;1504;19
2018-04-02T11:15:00+02:00[Europe/Luxembourg];-74;1500;19
2018-04-02T11:30:00+02:00[Europe/Luxembourg];283;1489;19
2018-04-02T11:45:00+02:00[Europe/Luxembourg];791;1450;19
2018-04-02T12:00:00+02:00[Europe/Luxembourg];774;1468;19
2018-04-02T12:15:00+02:00[Europe/Luxembourg];68;1487;19
2018-04-02T12:30:00+02:00[Europe/Luxembourg];-69;1446;19
2018-04-02T12:45:00+02:00[Europe/Luxembourg];-52;1430;19
2018-04-02T13:00:00+02:00[Europe/Luxembourg];-71;1441;19
2018-04-02T13:15:00+02:00[Europe/Luxembourg];438;1477;19
2018-04-02T13:30:00+02:00[Europe/Luxembourg];763;1496;19
2018-04-02T13:45:00+02:00[Europe/Luxembourg];606;1541;19
2018-04-02T14:00:00+02:00[Europe/Luxembourg];-63;1524;19
2018-04-02T14:15:00+02:00[Europe/Luxembourg];-82;1448;19
2018-04-02T14:30:00+02:00[Europe/Luxembourg];-86;1448;18
2018-04-02T14:45:00+02:00[Europe/Luxembourg];74;1464;18
2018-04-02T15:00:00+02:00[Europe/Luxembourg];758;1411;18
2018-04-02T15:15:00+02:00[Europe/Luxembourg];796;1400;18
2018-04-02T15:30:00+02:00[Europe/Luxembourg];196;1409;17
2018-04-02T15:45:00+02:00[Europe/Luxembourg];-99;1364;17
2018-04-02T16:00:00+02:00[Europe/Luxembourg];-106;1324;17
2018-04-02T16:15:00+02:00[Europe/Luxembourg];-116;1337;16
2018-04-02T16:30:00+02:00[Europe/Luxembourg];24;1335;16
2018-04-02T16:45:00+02:00[Europe/Luxembourg];695;1385;16
2018-04-02T17:00:00+02:00[Europe/Luxembourg];736;1350;15
2018-04-02T17:15:00+02:00[Europe/Luxembourg];199;1286;15
2018-04-02T17:30:00+02:00[Europe/Luxembourg];-74;1326;15
2018-04-02T17:45:00+02:00[Europe/Luxembourg];-61;1337;14
2018-04-02T18:00:00+02:00[Europe/Luxembourg];116;1333;14
2018-04-02T18:15:00+02:00[Europe/Luxembourg];687;1292;13
2018-04-02T18:30:00+02:00[Europe/Luxembourg];694;1265;13
2018-04-02T18:45:00+02:00[Europe/Luxembourg];94;1255;12
2018-04-02T19:00:00+02:00[Europe/Luxembourg];45;1217;12
2018-04-02T19:15:00+02:00[Europe/Luxembourg];375;1122;11
2018-04-02T19:30:00+02:00[Europe/Luxembourg];128;1117;11
2018-04-02T19:45:00+02:00[Europe/Luxembourg];-150;1117;10
2018-04-02T20:00:00+02:00[Europe/Luxembourg];466;1120;9
2018-04-02T20:15:00+02:00[Europe/Luxembourg];830;1106;9
2018-04-02T20:30:00+02:00[Europe/Luxembourg];806;1118;8
2018-04-02T20:45:00+02:00[Europe/Luxembourg];773;1120;8
2018-04-02T21:00:00+02:00[Europe/Luxembourg];497;1128;7
2018-04-02T21:15:00+02:00[Europe/Luxembourg];809;1099;7
2018-04-02T21:30:00+02:00[Europe/Luxembourg];816;1108;6
2018-04-02T21:45:00+02:00[Europe/Luxembourg];792;1090;5
2018-04-02T22:00:00+02:00[Europe/Luxembourg];773;1065;5
2018-04-02T22:15:00+02:00[Europe/Luxembourg];787;1049;4
2018-04-02T22:30:00+02:00[Europe/Luxembourg];836;1031;3
2018-04-02T22:45:00+02:00[Europe/Luxembourg];800;995;3
2018-04-02T23:00:00+02:00[Europe/Luxembourg];777;1034;2
2018-04-02T23:15:00+02:00[Europe/Luxembourg];767;992;1
2018-04-02T23:30:00+02:00[Europe/Luxembourg];730;975;1
2018-04-02T23:45:00+02:00[Europe/Luxembourg];758;945;0
2018-04-03T00:00:00+02:00[Europe/Luxembourg];755;923;0
2018-04-03T00:15:00+02:00[Europe/Luxembourg];753;931;0
2018-04-03T00:30:00+02:00[Europe/Luxembourg];801;917;1
2018-04-03T00:45:00+02:00[Europe/Luxembourg];793;909;1
2018-04-03T01:00:00+02:00[Europe/Luxembourg];830;881;2
2018-04-03T01:15:00+02:00[Europe/Luxembourg];808;873;3
2018-04-03T01:30:00+02:00[Europe/Luxembourg];786;852;3
2018-04-03T01:45:00+02:00[Europe/Luxembourg];767;843;4
2018-04-03T02:00:00+02:00[Europe/Luxembourg];764;865;5
2018-04-03T02:15:00+02:00[Europe/Luxembourg];735;852;5
2018-04-03T02:30:00+02:00[Europe/Luxembourg];725;844;6
2018-04-03T02:45:00+02:00[Europe/Luxembourg];738;844;7
2018-04-03T03:00:00+02:00[Europe/Luxembourg];741;856;7
2018-04-03T03:15:00+02:00[Europe/Luxembourg];780;875;8
2018-04-03T03:30:00+02:00[Europe/Luxembourg];798;884;8
2018-04-03T03:45:00+02:00[Europe/Luxembourg];753;861;9
